N,S_широкая,отн_ошибка_широкая,S_узкая,отн_ошибка_узкая
28100,0.932425494617,0.012801981333,0.942580324006,0.002050637111
28600,0.931081481844,0.014224944082,0.942781768649,0.001837359210
29100,0.928781373021,0.016660165863,0.942801891630,0.001816054165
29600,0.924259816803,0.021447327267,0.943121377940,0.001477800595
30100,0.923764413000,0.021971832072,0.942545072925,0.002087958911
30600,0.924873783170,0.020797295297,0.942651002155,0.001975807187
31100,0.925634873400,0.019991497116,0.942671933409,0.001953646390
31600,0.925756553437,0.019862669353,0.942451299636,0.002187240629
32100,0.923754350864,0.021982485277,0.941881813787,0.002790179207
32600,0.924199365784,0.021511329299,0.942341686469,0.002303292691
33100,0.926393256860,0.019188564706,0.942174370764,0.002480436853
33600,0.929389901412,0.016015891306,0.942805005901,0.001812756956
34100,0.928022068432,0.017464073510,0.942561389554,0.002070683810
34600,0.929503634079,0.015895477757,0.942581498464,0.002049393663
35100,0.928727118436,0.016717607469,0.942275712950,0.002373141626
35600,0.930157164683,0.015203557468,0.942156712693,0.002499132194
36100,0.929393107499,0.016012496888,0.942497900840,0.002137901978
36600,0.926790501284,0.018767985357,0.943211086395,0.001382822488
37100,0.925568307091,0.020061973663,0.942981696700,0.001625686989
37600,0.924895752953,0.020774034965,0.943332046542,0.001254756902
38100,0.923730502811,0.022007734213,0.943473397080,0.001105103152
38600,0.924610390953,0.021076159695,0.943315262232,0.001272527155
39100,0.926711015455,0.018852140341,0.943712803898,0.000851633103
39600,0.927531051464,0.017983933789,0.943908071189,0.000644895424
40100,0.924209033927,0.021501093230,0.944319947214,0.000208824984
40600,0.923123992772,0.022649871856,0.944096676571,0.000445210987
41100,0.921828803324,0.024021143301,0.944125797708,0.000414379217
41600,0.925005146872,0.020658215030,0.944184717710,0.000351998137
42100,0.923718380523,0.022020568589,0.944242238187,0.000291098794
42600,0.925885107264,0.019726564019,0.944209059549,0.000326226410
43100,0.926648132323,0.018918717353,0.944500462626,0.000017705738
43600,0.928062611117,0.017421149267,0.944377784094,0.000147590650
44100,0.927460906183,0.018058199543,0.944574356624,0.000060528940
44600,0.927526647725,0.017988596213,0.944282915938,0.000248031550
45100,0.928022068432,0.017464073510,0.943632221141,0.000936949452
45600,0.928719829385,0.016725324694,0.943997443808,0.000550272880
46100,0.930456916127,0.014886198029,0.944244656965,0.000288537931
46600,0.929861801533,0.015516270836,0.944295979764,0.000234200329
47100,0.930517810725,0.014821726362,0.943996026047,0.000551773923
47600,0.930751545104,0.014574261962,0.943702373879,0.000862675802
48100,0.933001654226,0.012191976964,0.943942375158,0.000608576372
48600,0.932404849511,0.012823839172,0.944334074427,0.000193867911
49100,0.933800268101,0.011346450925,0.944226832270,0.000307409684
49600,0.932227391169,0.013011721770,0.944531027716,0.000014654806
50100,0.934372946573,0.010740132183,0.944272013941,0.000259573952
50600,0.934554728955,0.010547671543,0.944093341581,0.000448741881
51100,0.932259612123,0.012977608093,0.943595390771,0.000975943310
51600,0.934154071025,0.010971864915,0.943746384788,0.000816079605
52100,0.934332720282,0.010782721447,0.943480491840,0.001097591633
52600,0.932474826863,0.012749751212,0.943412620268,0.001169450115
53100,0.932299741673,0.012935121253,0.943489388907,0.001088171934
53600,0.934667286868,0.010428501755,0.943848774684,0.000707675124
54100,0.936631656145,0.008348741528,0.943755929212,0.000805974522
54600,0.936601375885,0.008380800511,0.943688021459,0.000877871312
55100,0.939394769953,0.005423316931,0.943206871182,0.001387285311
55600,0.940214478957,0.004555456593,0.943350496201,0.001235223473
56100,0.938073474588,0.006822227808,0.943355865452,0.001229538822
56600,0.937859758203,0.007048498318,0.943181810661,0.001413817936
57100,0.939522700520,0.005287871469,0.943188562986,0.001406668967
57600,0.940987985228,0.003736513030,0.942820739457,0.001796099180
58100,0.941926046311,0.002743348376,0.942655783551,0.001970744923
58600,0.941023125201,0.003699308865,0.942493642592,0.002142410364
59100,0.939806475650,0.004987426825,0.942849475159,0.001765675486
59600,0.939099608942,0.005735816286,0.943007747021,0.001598106420
60100,0.939536865668,0.005272874232,0.942888946122,0.001723885920
60600,0.941250357227,0.003458728778,0.942520867231,0.002113586495
61100,0.941026383598,0.003695859062,0.942740238242,0.001881329196
61600,0.938754296434,0.006101413136,0.942811871452,0.001805488109
62100,0.938710582708,0.006147694693,0.942575888846,0.002055332802
62600,0.937425121795,0.007508666131,0.942728760989,0.001893480645
63100,0.941398584549,0.003301794289,0.942838996365,0.001776769824
63600,0.942099432243,0.002559777411,0.943146988093,0.001450686051
64100,0.943396031827,0.001187012994,0.942856374365,0.001758371007
64600,0.945124052591,0.000642515139,0.942668460070,0.001957323760
65100,0.943241331671,0.001350800544,0.942619857477,0.002008781365
65600,0.944351376605,0.000175549368,0.942127158271,0.002530422701
66100,0.945003381405,0.000514755488,0.941949024301,0.002719020614
66600,0.945353640309,0.000885589295,0.941792615375,0.002884617311
67100,0.944829337743,0.000330488156,0.941581812218,0.003107803463
67600,0.944888065449,0.000392665644,0.941636887142,0.003049493329
68100,0.944803168138,0.000302781296,0.941523476598,0.003169565834
68600,0.944436064200,0.000085887056,0.941652153688,0.003033329996
69100,0.944355666135,0.000171007862,0.941852413102,0.002821306946
